"word","index","year","page","frequency","articleCount","stfreq","pagegroup","category","pagegrpnew","decade"
"sent","1845:3",1845,3,6,107,5.60747663551402,2,"Events and Society ","front","1845"
"Singapore","1846:2",1846,2,138,331,41.6918429003021,1,"Persons and Places","front","1845"
"Steamer","1846:2",1846,2,70,331,21.1480362537764,1,"Business and Commerce","front","1845"
"China","1846:2",1846,2,56,331,16.9184290030211,1,"Persons and Places","front","1845"
"arrived","1846:2",1846,2,53,331,16.012084592145,1,"Events and Society ","front","1845"
"Calcutta","1846:2",1846,2,46,331,13.8972809667674,1,"Persons and Places","front","1845"
"bark","1846:2",1846,2,38,331,11.4803625377643,1,"Business and Commerce","front","1845"
"Captain","1846:2",1846,2,37,331,11.178247734139,1,"Persons and Places","front","1845"
"received","1846:2",1846,2,36,331,10.8761329305136,1,"Events and Society ","front","1845"
"brig","1846:2",1846,2,35,331,10.5740181268882,1,"Business and Commerce","front","1845"
"Ship","1846:2",1846,2,34,331,10.2719033232628,1,"Business and Commerce","front","1845"
"China","1846:3",1846,3,61,348,17.5287356321839,2,"Persons and Places","front","1845"
"European","1846:3",1846,3,53,348,15.2298850574713,2,"Politics and Power","front","1845"
"British","1846:3",1846,3,49,348,14.0804597701149,2,"Politics and Power","front","1845"
"bark","1846:3",1846,3,42,348,12.0689655172414,2,"Business and Commerce","front","1845"
"Intelligence","1846:3",1846,3,37,348,10.632183908046,2,"Business and Commerce","front","1845"
"Singapore","1846:3",1846,3,34,348,9.77011494252874,2,"Persons and Places","front","1845"
"Calcutta","1846:3",1846,3,31,348,8.9080459770115,2,"Persons and Places","front","1845"
"brig","1846:3",1846,3,31,348,8.9080459770115,2,"Business and Commerce","front","1845"
"Ship","1846:3",1846,3,28,348,8.04597701149425,2,"Business and Commerce","front","1845"
"Dutch","1846:3",1846,3,24,348,6.89655172413793,2,"Persons and Places","front","1845"
"received","1846:3",1846,3,24,348,6.89655172413793,2,"Events and Society ","front","1845"
"time","1846:3",1846,3,24,348,6.89655172413793,2,"Events and Society ","front","1845"
"arrived","1846:3",1846,3,23,348,6.60919540229885,2,"Events and Society ","front","1845"
"bark","1846:4",1846,4,165,355,46.4788732394366,3,"Business and Commerce","middle","1845"
"sight","1846:4",1846,4,160,355,45.0704225352113,3,"Events and Society ","middle","1845"
"days","1846:4",1846,4,154,355,43.3802816901408,3,"Events and Society ","middle","1845"
"British","1846:4",1846,4,150,355,42.2535211267606,3,"Politics and Power","middle","1845"
"brig","1846:4",1846,4,102,355,28.7323943661972,3,"Business and Commerce","middle","1845"
"Singapore","1846:4",1846,4,98,355,27.6056338028169,3,"Persons and Places","middle","1845"
"cwt","1846:4",1846,4,91,355,25.6338028169014,3,"Business and Commerce","middle","1845"
"Goan","1846:4",1846,4,87,355,24.5070422535211,3,"Persons and Places","middle","1845"
"China","1846:4",1846,4,86,355,24.2253521126761,3,"Persons and Places","middle","1845"
"Bombay","1846:4",1846,4,83,355,23.3802816901408,3,"Persons and Places","middle","1845"
"arrival","1848:2",1848,2,116,314,36.9426751592357,1,"Events and Society ","front","1845"
"Singapore","1848:2",1848,2,114,314,36.3057324840764,1,"Persons and Places","front","1845"
"announce","1848:2",1848,2,109,314,34.7133757961783,1,"Events and Society ","front","1845"
"Passenger","1848:2",1848,2,90,314,28.6624203821656,1,"Business and Commerce","front","1845"
"China","1848:2",1848,2,54,314,17.1974522292994,1,"Persons and Places","front","1845"
"received","1848:2",1848,2,54,314,17.1974522292994,1,"Events and Society ","front","1845"
"Captain","1848:2",1848,2,53,314,16.8789808917197,1,"Persons and Places","front","1845"
"Calcutta","1848:2",1848,2,37,314,11.7834394904459,1,"Persons and Places","front","1845"
"Hongkong","1848:2",1848,2,35,314,11.1464968152866,1,"Persons and Places","front","1845"
"arrived","1848:2",1848,2,34,314,10.828025477707,1,"Events and Society ","front","1845"
"General","1848:2",1848,2,32,314,10.1910828025478,1,"Persons and Places","front","1845"
"European","1848:3",1848,3,52,236,22.0338983050847,2,"Politics and Power","front","1845"
"Intelligence","1848:3",1848,3,47,236,19.9152542372881,2,"Business and Commerce","front","1845"
"China","1848:3",1848,3,28,236,11.864406779661,2,"Persons and Places","front","1845"
"arrived","1848:3",1848,3,23,236,9.74576271186441,2,"Events and Society ","front","1845"
"Singapore","1848:3",1848,3,20,236,8.47457627118644,2,"Persons and Places","front","1845"
"Sir","1848:3",1848,3,19,236,8.05084745762712,2,"Persons and Places","front","1845"
"place","1848:3",1848,3,17,236,7.20338983050847,2,"Events and Society ","front","1845"
"Captain","1848:3",1848,3,16,236,6.77966101694915,2,"Persons and Places","front","1845"
"Chinese","1848:3",1848,3,16,236,6.77966101694915,2,"Politics and Power","front","1845"
"left","1848:3",1848,3,15,236,6.35593220338983,2,"Events and Society ","front","1845"
"received","1848:3",1848,3,15,236,6.35593220338983,2,"Events and Society ","front","1845"
"Ditto","1848:3",1848,3,13,236,5.50847457627119,2,"Business and Commerce","front","1845"
"General","1848:3",1848,3,13,236,5.50847457627119,2,"Persons and Places","front","1845"
"Government","1848:3",1848,3,13,236,5.50847457627119,2,"Politics and Power","front","1845"
"Governor","1848:3",1848,3,13,236,5.50847457627119,2,"Politics and Power","front","1845"
"cent","1848:4",1848,4,83,272,30.5147058823529,3,"Business and Commerce","middle","1845"
"British","1848:4",1848,4,78,272,28.6764705882353,3,"Politics and Power","middle","1845"
"brig","1848:4",1848,4,75,272,27.5735294117647,3,"Business and Commerce","middle","1845"
"bark","1848:4",1848,4,74,272,27.2058823529412,3,"Business and Commerce","middle","1845"
"Ditto","1848:4",1848,4,72,272,26.4705882352941,3,"Business and Commerce","middle","1845"
"Calcutta","1848:4",1848,4,70,272,25.7352941176471,3,"Persons and Places","middle","1845"
"cwt","1848:4",1848,4,64,272,23.5294117647059,3,"Business and Commerce","middle","1845"
"dollar","1848:4",1848,4,58,272,21.3235294117647,3,"Business and Commerce","middle","1845"
"sight","1848:4",1848,4,58,272,21.3235294117647,3,"Events and Society ","middle","1845"
"Brit","1848:4",1848,4,57,272,20.9558823529412,3,"Politics and Power","middle","1845"
"Bombay","1848:4",1848,4,56,272,20.5882352941176,3,"Persons and Places","middle","1845"
"arrival","1849:3",1849,3,23,110,20.9090909090909,1,"Events and Society ","front","1845"
"announce","1849:3",1849,3,22,110,20,1,"Events and Society ","front","1845"
"Singapore","1849:3",1849,3,20,110,18.1818181818182,1,"Persons and Places","front","1845"
"Passenger","1849:3",1849,3,17,110,15.4545454545455,1,"Business and Commerce","front","1845"
"Calcutta","1849:3",1849,3,16,110,14.5454545454545,1,"Persons and Places","front","1845"
"received","1849:3",1849,3,14,110,12.7272727272727,1,"Events and Society ","front","1845"
"Hongkong","1849:3",1849,3,13,110,11.8181818181818,1,"Persons and Places","front","1845"
"China","1849:3",1849,3,11,110,10,1,"Persons and Places","front","1845"
"Sir","1849:3",1849,3,9,110,8.18181818181818,1,"Persons and Places","front","1845"
"accounts","1849:3",1849,3,8,110,7.27272727272727,1,"Business and Commerce","front","1845"
"Singapore","1849:4",1849,4,30,124,24.1935483870968,2,"Persons and Places","front","1845"
"announce","1849:4",1849,4,28,124,22.5806451612903,2,"Events and Society ","front","1845"
"arrival","1849:4",1849,4,27,124,21.7741935483871,2,"Events and Society ","front","1845"
"Passenger","1849:4",1849,4,19,124,15.3225806451613,2,"Business and Commerce","front","1845"
"received","1849:4",1849,4,18,124,14.5161290322581,2,"Events and Society ","front","1845"
"Drs","1849:4",1849,4,12,124,9.67741935483871,2,"Events and Society ","front","1845"
"Calcutta","1849:4",1849,4,11,124,8.87096774193548,2,"Persons and Places","front","1845"
"Bombay","1849:4",1849,4,9,124,7.25806451612903,2,"Persons and Places","front","1845"
"Captain","1849:4",1849,4,9,124,7.25806451612903,2,"Persons and Places","front","1845"
"China","1849:4",1849,4,8,124,6.45161290322581,2,"Persons and Places","front","1845"
"left","1849:4",1849,4,8,124,6.45161290322581,2,"Events and Society ","front","1845"
"Malacca","1849:4",1849,4,7,124,5.64516129032258,2,"Persons and Places","front","1845"
"annex","1849:4",1849,4,7,124,5.64516129032258,2,"Business and Commerce","front","1845"
"board","1849:4",1849,4,7,124,5.64516129032258,2,"Business and Commerce","front","1845"
"departure","1849:4",1849,4,7,124,5.64516129032258,2,"Business and Commerce","front","1845"
"instant","1849:4",1849,4,7,124,5.64516129032258,2,"Events and Society ","front","1845"
"news","1849:4",1849,4,7,124,5.64516129032258,2,"Events and Society ","front","1845"
"British","1849:6",1849,6,20,127,15.748031496063,3,"Politics and Power","middle","1845"
"bark","1849:6",1849,6,20,127,15.748031496063,3,"Business and Commerce","middle","1845"
"Bombay","1849:6",1849,6,16,127,12.5984251968504,3,"Persons and Places","middle","1845"
"Captain","1849:6",1849,6,13,127,10.2362204724409,3,"Persons and Places","middle","1845"
"Calcutta","1849:6",1849,6,12,127,9.44881889763779,3,"Persons and Places","middle","1845"
"South","1849:6",1849,6,12,127,9.44881889763779,3,"Persons and Places","middle","1845"
"bottled","1849:6",1849,6,12,127,9.44881889763779,3,"Business and Commerce","middle","1845"
"cwt","1849:6",1849,6,12,127,9.44881889763779,3,"Business and Commerce","middle","1845"
"Ship","1849:6",1849,6,11,127,8.66141732283465,3,"Business and Commerce","middle","1845"
"Europe","1849:6",1849,6,9,127,7.08661417322835,3,"Persons and Places","middle","1845"
"Singapore","1849:6",1849,6,9,127,7.08661417322835,3,"Persons and Places","middle","1845"
"present","1849:6",1849,6,9,127,7.08661417322835,3,"Events and Society ","middle","1845"
"Macao","1849:6",1849,6,8,127,6.2992125984252,3,"Persons and Places","middle","1845"
"Sago","1849:6",1849,6,8,127,6.2992125984252,3,"Business and Commerce","middle","1845"
"demand","1849:6",1849,6,8,127,6.2992125984252,3,"Business and Commerce","middle","1845"
"China","1849:6",1849,6,7,127,5.51181102362205,3,"Persons and Places","middle","1845"
"European","1849:6",1849,6,7,127,5.51181102362205,3,"Politics and Power","middle","1845"
"Goan","1849:6",1849,6,7,127,5.51181102362205,3,"Persons and Places","middle","1845"
"Junks","1849:6",1849,6,7,127,5.51181102362205,3,"Business and Commerce","middle","1845"
"Market","1849:6",1849,6,7,127,5.51181102362205,3,"Business and Commerce","middle","1845"
"Adelaide","1849:6",1849,6,6,127,4.7244094488189,3,"Persons and Places","middle","1845"
"Brit","1849:6",1849,6,6,127,4.7244094488189,3,"Politics and Power","middle","1845"
"Phillip","1849:6",1849,6,6,127,4.7244094488189,3,"Persons and Places","middle","1845"
"Rachman","1849:6",1849,6,6,127,4.7244094488189,3,"Persons and Places","middle","1845"
"Sir","1849:6",1849,6,6,127,4.7244094488189,3,"Persons and Places","middle","1845"
"brig","1849:6",1849,6,6,127,4.7244094488189,3,"Business and Commerce","middle","1845"
"cent","1849:6",1849,6,6,127,4.7244094488189,3,"Business and Commerce","middle","1845"
"morning","1849:6",1849,6,6,127,4.7244094488189,3,"Events and Society ","middle","1845"
"received","1849:6",1849,6,6,127,4.7244094488189,3,"Events and Society ","middle","1845"
"Steamer","1849:6",1849,6,6,127,4.7244094488189,3,"Business and Commerce","middle","1845"
"Asia","1849:6",1849,6,5,127,3.93700787401575,3,"Persons and Places","middle","1845"
"Bass","1849:6",1849,6,5,127,3.93700787401575,3,"Business and Commerce","middle","1845"
"Bintang","1849:6",1849,6,5,127,3.93700787401575,3,"Persons and Places","middle","1845"
"Good","1849:6",1849,6,5,127,3.93700787401575,3,"Persons and Places","middle","1845"
"Madras","1849:6",1849,6,5,127,3.93700787401575,3,"Persons and Places","middle","1845"
"Port","1849:6",1849,6,5,127,3.93700787401575,3,"Business and Commerce","middle","1845"
"United","1849:6",1849,6,5,127,3.93700787401575,3,"Persons and Places","middle","1845"
"accounts","1849:6",1849,6,5,127,3.93700787401575,3,"Business and Commerce","middle","1845"
"arrived","1849:6",1849,6,5,127,3.93700787401575,3,"Events and Society ","middle","1845"
"continues","1849:6",1849,6,5,127,3.93700787401575,3,"Events and Society ","middle","1845"
"meeting","1849:6",1849,6,5,127,3.93700787401575,3,"Politics and Power","middle","1845"
"spoken","1849:6",1849,6,5,127,3.93700787401575,3,"Events and Society ","middle","1845"
"wood","1849:6",1849,6,5,127,3.93700787401575,3,"Business and Commerce","middle","1845"
"bark","1849:7",1849,7,88,276,31.8840579710145,4,"Business and Commerce","middle","1845"
"Calcutta","1849:7",1849,7,77,276,27.8985507246377,4,"Persons and Places","middle","1845"
"British","1849:7",1849,7,68,276,24.6376811594203,4,"Politics and Power","middle","1845"
"Brit","1849:7",1849,7,66,276,23.9130434782609,4,"Politics and Power","middle","1845"
"Ship","1849:7",1849,7,66,276,23.9130434782609,4,"Business and Commerce","middle","1845"
"cent","1849:7",1849,7,63,276,22.8260869565217,4,"Business and Commerce","middle","1845"
"brig","1849:7",1849,7,62,276,22.463768115942,4,"Business and Commerce","middle","1845"
"Bombay","1849:7",1849,7,53,276,19.2028985507246,4,"Persons and Places","middle","1845"
"cwt","1849:7",1849,7,50,276,18.1159420289855,4,"Business and Commerce","middle","1845"
"Captain","1849:7",1849,7,44,276,15.9420289855072,4,"Persons and Places","middle","1845"
"sight","1849:7",1849,7,37,276,13.4057971014493,4,"Events and Society ","middle","1845"
"Sir","1850:3",1850,3,17,122,13.9344262295082,1,"Persons and Places","front","1850"
"Singapore","1850:3",1850,3,16,122,13.1147540983607,1,"Persons and Places","front","1850"
"Captain","1850:3",1850,3,11,122,9.01639344262295,1,"Persons and Places","front","1850"
"China","1850:3",1850,3,11,122,9.01639344262295,1,"Persons and Places","front","1850"
"Court","1850:3",1850,3,10,122,8.19672131147541,1,"Politics and Power","front","1850"
"announce","1850:3",1850,3,10,122,8.19672131147541,1,"Events and Society ","front","1850"
"received","1850:3",1850,3,9,122,7.37704918032787,1,"Events and Society ","front","1850"
"Borneo","1850:3",1850,3,8,122,6.55737704918033,1,"Persons and Places","front","1850"
"Brooke","1850:3",1850,3,8,122,6.55737704918033,1,"Persons and Places","front","1850"
"arrival","1850:3",1850,3,8,122,6.55737704918033,1,"Events and Society ","front","1850"
"Intelligence","1850:3",1850,3,8,122,6.55737704918033,1,"Business and Commerce","front","1850"
"Hongkong","1850:3",1850,3,7,122,5.73770491803279,1,"Persons and Places","front","1850"
"attention","1850:3",1850,3,7,122,5.73770491803279,1,"Events and Society ","front","1850"
"Steamer","1850:3",1850,3,7,122,5.73770491803279,1,"Business and Commerce","front","1850"
"James","1850:3",1850,3,6,122,4.91803278688525,1,"Persons and Places","front","1850"
"London","1850:3",1850,3,6,122,4.91803278688525,1,"Persons and Places","front","1850"
"arrived","1850:3",1850,3,6,122,4.91803278688525,1,"Events and Society ","front","1850"
"brought","1850:3",1850,3,6,122,4.91803278688525,1,"Events and Society ","front","1850"
"great","1850:3",1850,3,6,122,4.91803278688525,1,"Events and Society ","front","1850"
"letter","1850:3",1850,3,6,122,4.91803278688525,1,"Events and Society ","front","1850"
"morning","1850:3",1850,3,6,122,4.91803278688525,1,"Events and Society ","front","1850"
"Passenger","1850:3",1850,3,6,122,4.91803278688525,1,"Business and Commerce","front","1850"
"Ship","1850:3",1850,3,6,122,4.91803278688525,1,"Business and Commerce","front","1850"
"Calcutta","1850:3",1850,3,5,122,4.0983606557377,1,"Persons and Places","front","1850"
"California","1850:3",1850,3,5,122,4.0983606557377,1,"Persons and Places","front","1850"
"Governor","1850:3",1850,3,5,122,4.0983606557377,1,"Politics and Power","front","1850"
"Oriental","1850:3",1850,3,5,122,4.0983606557377,1,"Persons and Places","front","1850"
"days","1850:3",1850,3,5,122,4.0983606557377,1,"Events and Society ","front","1850"
"late","1850:3",1850,3,5,122,4.0983606557377,1,"Events and Society ","front","1850"
"pirates","1850:3",1850,3,5,122,4.0983606557377,1,"Events and Society ","front","1850"
"announce","1850:4",1850,4,48,145,33.1034482758621,2,"Events and Society ","front","1850"
"Passenger","1850:4",1850,4,41,145,28.2758620689655,2,"Business and Commerce","front","1850"
"arrival","1850:4",1850,4,39,145,26.8965517241379,2,"Events and Society ","front","1850"
"Singapore","1850:4",1850,4,33,145,22.7586206896552,2,"Persons and Places","front","1850"
"Sir","1850:4",1850,4,25,145,17.2413793103448,2,"Persons and Places","front","1850"
"received","1850:4",1850,4,16,145,11.0344827586207,2,"Events and Society ","front","1850"
"China","1850:4",1850,4,15,145,10.3448275862069,2,"Persons and Places","front","1850"
"Hongkong","1850:4",1850,4,14,145,9.6551724137931,2,"Persons and Places","front","1850"
"Captain","1850:4",1850,4,13,145,8.96551724137931,2,"Persons and Places","front","1850"
"departure","1850:4",1850,4,11,145,7.58620689655172,2,"Business and Commerce","front","1850"
"place","1850:4",1850,4,11,145,7.58620689655172,2,"Events and Society ","front","1850"
"Singapore","1850:5",1850,5,18,115,15.6521739130435,3,"Persons and Places","middle","1850"
"received","1850:5",1850,5,14,115,12.1739130434783,3,"Events and Society ","middle","1850"
"journals","1850:5",1850,5,11,115,9.56521739130435,3,"Business and Commerce","middle","1850"
"Calcutta","1850:5",1850,5,10,115,8.69565217391304,3,"Persons and Places","middle","1850"
"Bombay","1850:5",1850,5,9,115,7.82608695652174,3,"Persons and Places","middle","1850"
"arrived","1850:5",1850,5,9,115,7.82608695652174,3,"Events and Society ","middle","1850"
"Captain","1850:5",1850,5,8,115,6.95652173913043,3,"Persons and Places","middle","1850"
"Hongkong","1850:5",1850,5,8,115,6.95652173913043,3,"Persons and Places","middle","1850"
"days","1850:5",1850,5,8,115,6.95652173913043,3,"Events and Society ","middle","1850"
"Passenger","1850:5",1850,5,8,115,6.95652173913043,3,"Business and Commerce","middle","1850"
"present","1850:5",1850,5,8,115,6.95652173913043,3,"Events and Society ","middle","1850"
"Sir","1850:5",1850,5,7,115,6.08695652173913,3,"Persons and Places","middle","1850"
"announce","1850:5",1850,5,7,115,6.08695652173913,3,"Events and Society ","middle","1850"
"arrival","1850:5",1850,5,7,115,6.08695652173913,3,"Events and Society ","middle","1850"
"public","1850:5",1850,5,7,115,6.08695652173913,3,"Events and Society ","middle","1850"
"French","1850:5",1850,5,5,115,4.34782608695652,3,"Persons and Places","middle","1850"
"Governor","1850:5",1850,5,5,115,4.34782608695652,3,"Politics and Power","middle","1850"
"Steam","1850:5",1850,5,5,115,4.34782608695652,3,"Business and Commerce","middle","1850"
"Steamer","1850:5",1850,5,5,115,4.34782608695652,3,"Business and Commerce","middle","1850"
"accounts","1850:5",1850,5,5,115,4.34782608695652,3,"Business and Commerce","middle","1850"
"advices","1850:5",1850,5,5,115,4.34782608695652,3,"Business and Commerce","middle","1850"
"brought","1850:5",1850,5,5,115,4.34782608695652,3,"Events and Society ","middle","1850"
"issue","1850:5",1850,5,5,115,4.34782608695652,3,"Events and Society ","middle","1850"
"paper","1850:5",1850,5,5,115,4.34782608695652,3,"Business and Commerce","middle","1850"
"Ship","1850:5",1850,5,5,115,4.34782608695652,3,"Business and Commerce","middle","1850"
"Vessel","1850:5",1850,5,5,115,4.34782608695652,3,"Business and Commerce","middle","1850"
"never","1850:6",1850,6,9,103,8.7378640776699,4,"Events and Society ","middle","1850"
"Calcutta","1850:6",1850,6,8,103,7.76699029126214,4,"Persons and Places","middle","1850"
"public","1850:6",1850,6,8,103,7.76699029126214,4,"Events and Society ","middle","1850"
"Sir","1850:6",1850,6,7,103,6.79611650485437,4,"Persons and Places","middle","1850"
"brought","1850:6",1850,6,7,103,6.79611650485437,4,"Events and Society ","middle","1850"
"Captain","1850:6",1850,6,6,103,5.8252427184466,4,"Persons and Places","middle","1850"
"China","1850:6",1850,6,6,103,5.8252427184466,4,"Persons and Places","middle","1850"
"case","1850:6",1850,6,6,103,5.8252427184466,4,"Events and Society ","middle","1850"
"present","1850:6",1850,6,6,103,5.8252427184466,4,"Events and Society ","middle","1850"
"taken","1850:6",1850,6,6,103,5.8252427184466,4,"Events and Society ","middle","1850"
"England","1850:6",1850,6,5,103,4.85436893203883,4,"Persons and Places","middle","1850"
"European","1850:6",1850,6,5,103,4.85436893203883,4,"Politics and Power","middle","1850"
"India","1850:6",1850,6,5,103,4.85436893203883,4,"Persons and Places","middle","1850"
"bales","1850:6",1850,6,5,103,4.85436893203883,4,"Business and Commerce","middle","1850"
"done","1850:6",1850,6,5,103,4.85436893203883,4,"Events and Society ","middle","1850"
"without","1850:6",1850,6,5,103,4.85436893203883,4,"Events and Society ","middle","1850"
"Calcutta","1850:7",1850,7,82,337,24.3323442136499,5,"Persons and Places","middle","1850"
"bark","1850:7",1850,7,82,337,24.3323442136499,5,"Business and Commerce","middle","1850"
"Brit","1850:7",1850,7,77,337,22.8486646884273,5,"Politics and Power","middle","1850"
"Bux","1850:7",1850,7,71,337,21.0682492581602,5,"Persons and Places","middle","1850"
"Ship","1850:7",1850,7,69,337,20.4747774480712,5,"Business and Commerce","middle","1850"
"Mahomed","1850:7",1850,7,64,337,18.9910979228487,5,"Persons and Places","middle","1850"
"brig","1850:7",1850,7,61,337,18.1008902077151,5,"Business and Commerce","middle","1850"
"cwt","1850:7",1850,7,58,337,17.2106824925816,5,"Business and Commerce","middle","1850"
"London","1850:7",1850,7,57,337,16.9139465875371,5,"Persons and Places","middle","1850"
"Bombay","1850:7",1850,7,55,337,16.3204747774481,5,"Persons and Places","middle","1850"
"Sago","1850:7",1850,7,51,337,15.13353115727,5,"Business and Commerce","middle","1850"
"cent","1850:7",1850,7,51,337,15.13353115727,5,"Business and Commerce","middle","1850"
"Calcutta","1850:8",1850,8,82,337,24.3323442136499,6,"Persons and Places","back","1850"
"bark","1850:8",1850,8,82,337,24.3323442136499,6,"Business and Commerce","back","1850"
"Brit","1850:8",1850,8,77,337,22.8486646884273,6,"Politics and Power","back","1850"
"Bux","1850:8",1850,8,71,337,21.0682492581602,6,"Persons and Places","back","1850"
"Ship","1850:8",1850,8,69,337,20.4747774480712,6,"Business and Commerce","back","1850"
"Mahomed","1850:8",1850,8,64,337,18.9910979228487,6,"Persons and Places","back","1850"
"brig","1850:8",1850,8,61,337,18.1008902077151,6,"Business and Commerce","back","1850"
"cwt","1850:8",1850,8,58,337,17.2106824925816,6,"Business and Commerce","back","1850"
"London","1850:8",1850,8,57,337,16.9139465875371,6,"Persons and Places","back","1850"
"Bombay","1850:8",1850,8,55,337,16.3204747774481,6,"Persons and Places","back","1850"
"Sago","1850:8",1850,8,51,337,15.13353115727,6,"Business and Commerce","back","1850"
"cent","1850:8",1850,8,51,337,15.13353115727,6,"Business and Commerce","back","1850"
"Sir","1851:3",1851,3,8,105,7.61904761904762,1,"Persons and Places","front","1850"
"Exhibition","1851:3",1851,3,6,105,5.71428571428571,1,"Events and Society ","front","1850"
"arrival","1851:3",1851,3,6,105,5.71428571428571,1,"Events and Society ","front","1850"
"arrived","1851:3",1851,3,6,105,5.71428571428571,1,"Events and Society ","front","1850"
"left","1851:3",1851,3,6,105,5.71428571428571,1,"Events and Society ","front","1850"
"Passenger","1851:3",1851,3,6,105,5.71428571428571,1,"Business and Commerce","front","1850"
"Captain","1851:3",1851,3,5,105,4.76190476190476,1,"Persons and Places","front","1850"
"announce","1851:3",1851,3,5,105,4.76190476190476,1,"Events and Society ","front","1850"
"called","1851:3",1851,3,5,105,4.76190476190476,1,"Events and Society ","front","1850"
"place","1851:3",1851,3,5,105,4.76190476190476,1,"Events and Society ","front","1850"
"present","1851:3",1851,3,5,105,4.76190476190476,1,"Events and Society ","front","1850"
"subject","1851:3",1851,3,5,105,4.76190476190476,1,"Events and Society ","front","1850"
"well","1851:3",1851,3,5,105,4.76190476190476,1,"Events and Society ","front","1850"
"without","1851:3",1851,3,5,105,4.76190476190476,1,"Events and Society ","front","1850"
"announce","1851:4",1851,4,43,152,28.2894736842105,2,"Events and Society ","front","1850"
"Passenger","1851:4",1851,4,41,152,26.9736842105263,2,"Business and Commerce","front","1850"
"arrival","1851:4",1851,4,38,152,25,2,"Events and Society ","front","1850"
"Singapore","1851:4",1851,4,28,152,18.4210526315789,2,"Persons and Places","front","1850"
"Calcutta","1851:4",1851,4,24,152,15.7894736842105,2,"Persons and Places","front","1850"
"China","1851:4",1851,4,19,152,12.5,2,"Persons and Places","front","1850"
"Hongkong","1851:4",1851,4,19,152,12.5,2,"Persons and Places","front","1850"
"Captain","1851:4",1851,4,16,152,10.5263157894737,2,"Persons and Places","front","1850"
"received","1851:4",1851,4,16,152,10.5263157894737,2,"Events and Society ","front","1850"
"John","1851:4",1851,4,13,152,8.55263157894737,2,"Persons and Places","front","1850"
"Sir","1851:4",1851,4,12,152,7.89473684210526,2,"Persons and Places","front","1850"
"Bombay","1851:4",1851,4,11,152,7.23684210526316,2,"Persons and Places","front","1850"
"received","1851:5",1851,5,16,133,12.0300751879699,3,"Events and Society ","middle","1850"
