wordCol,yearCol,headlineCol
up,1955,A LIFT TRAPS 16 AND HOLDS UP A PLANE
up,1955,The lovers give up:  Amnesty score now 4
up,1955,Give-up call No.5  Again rifles  give the reply
up,1955,Bandit  No. 5 gives up
up,1955,Tengku to timid 5: Give up to me
up,1955,LIGHTS GO UP THE PAGEANT IS ON
up,1955,UP GOES  THE  PRICE OF ULSTER
up,1955,Big clean-up
up,1955,BANDIT No. 7 GIVES UP
up,1955,New move to  speed up  surrenders
up,1955,MAN WHO FED  BANDITS GIVES UP
up,1955,Stork held up M & B spy probe
up,1955,REDS KEEP UP ATTACKS
up,1955,TRAINS TO BE SPEEDED UP
up,1955,Alliance two up in Selangor
up,1955,7 BANDITS GIVE UP IN A DAY
up,1955,AMNESTY: A Red gives up to a major
up,1955,Bandit pin-up girl is caught by planter
up,1955,Four spurn  offer  to give up
up,1955,Thugs beat up rider
up,1955,Woman Red boss gives  up: Her boy friend had walked out on her
up,1955,A round-up and a five-foot   wan gets the all clear
up,1955,GIRL RED GIVES UP: SHE'S No. 4 IN JOHORE
up,1955,"$1,500 hold-up by 6 men"
up,1955,Masked dagger men in hold-up
up,1955,Champion bandit killer  traps 2 Reds and brings his score up to 8
up,1955,Thugs beat  up Colony  merchant
up,1955,A call-up halt  likely in 1956
up,1955,"Dagger gang hold  up family,  snatch $12,500"
up,1955,12 gangsters beat up two youths
up,1955,"Gang beat up Guard, steal gun"
up,1955,"Pay up,  air  fares  up, too"
up,1955,Road deaths up
up,1955,Rail fares  may have  to go up
up,1955,Up again
up,1955,REDS SHOOT UP BUNGALOW
up,1955,Union is linked  up with graft'
up,1955,COMING-NEW RADIO SET-UP IN MALAYA
up,1955,"Tin up, up, up..."
up,1955,MERDEKA'  DATE UP  TO RULERS  TODAY
red,1955,Red wounded
red,1955,DOUBLE-DEALING RED  BUMPED OFF BY COMRADES
red,1955,Red hunters'  homes in Fiji  are saved
red,1955,THE THREE  RED  APEMEN
red,1955,A FIFTH COLUMN' IN RED RANKS
red,1955,Big guns drive off 10 Red warships
red,1955,RED 'TEA PARTIES' BAN
red,1955,"RED TIES? RUBBISH,  SAYS THE ACTION PARTY"
red,1955,"FOUND: A  CAMP, 3  RED CAPS"
red,1955,THE RED RIDDLE GROWS
red,1955,CALL-UP LAW FOR THE 18's TO 40's IN RED CHINA
red,1955,A RED BOSS GIVES UP
red,1955,RED BID  TO DERAIL  TRAIN
red,1955,Red air link
red,1955,SEATO to  counter Red plots
red,1955,Schoolgirl's Red China trip foiled
red,1955,RECORD RED BOMB HAUL
red,1955,Tree kills Red
red,1955,SURRENDERS HEAD RED LOSSES LIST
red,1955,U.S. picks Red-fighter
red,1955,RED DRIVE FOR 'BRAINS'
red,1955,RED ARMS DUMP SEIZED
red,1955,POLICE SEIZE A RED PLAN OF SCHOOL
red,1955,DEATH LEAP BY RED SUSPECT
red,1955,A Red boss gives up
red,1955,"Dr. HITO, THE RED JAP, KILLED IN AMBUSH"
red,1955,No' to Red trade move
red,1955,RED PLAN: CAPTURE MALAYA BY 1958'
red,1955,"200,000 RED TROOPS MENACE QUEMOY"
red,1955,ANGEL WITH A RED FLAG
red,1955,Red march is foiled
red,1955,Big Red arsenal found in Siam
red,1955,Red lights  stopped the general
red,1955,Red boss gives up
red,1955,POLICE SEEK HELP on 'RED BAIT CONTEST
red,1955,THE BIG RED HUNT IS ON
red,1955,HOW TO GET A RED TO GIVE UP
red,1955,SURVEYORS  CAUGHT IN  RED AMBUSH
red,1955,RED TROUBLE SPOT IS JOHORE
red,1955,The Red  who  fell out
red,1955,New Red  enace over Mlalaya
red,1955,RED DOCUMENTS SEIZED
red,1955,"RED PAPERS?  GUILTY, SAYS  UNIONIST"
red,1955,The letter  of peace  -the Red way
red,1955,Nerve' war  launched  against  Red lairs
red,1955,SHUN THIS RED BAIT'
red,1955,HOUSEWIVES ARE RED TARGET
red,1955,THE RED WIDOW
red,1955,No Red growth there
red,1955,I'M NO RED: FONG
red,1955,Fijians kill Red near capital
red,1955,A RED STUDENT'S  LIFE IS SO ROSY MALAYAN
red,1955,Red leader held
red,1955,"$1,000 MILLION IN THE RED"
red,1955,A VILLAGE GOES RED HUNTING
red,1955,Red hotel blast
red,1955,"They had a Red song in jail, court told"
red,1955,MARSHALL WITH RED ENVOY
red,1955,THE RED  WHO  WASN'T
red,1955,Red monks
red,1955,HARD CORE' RED QUITS
red,1955,Strategic talks Top Red escapes
red,1955,Halt Red move in Asia'
red,1955,Grant ham  to visit Red China
red,1955,RED FLAG FLIES ON SKYSCRAPER
red,1955,PAP IS RED MARSHALL
red,1955,Red raid   then 6  guards  are held
red,1955,ARE THEY RED? PAP REPLY
red,1955,Grantham in Red China
red,1955,HE GAVE  RED A  LIFT TO  NEW LIFE
red,1955,S'PORE'S OUTLOOK $30 MIL. IN RED
red,1955,AMNESTY: A Red gives up to a major
red,1955,BROKEN ARM RED: No. 23
red,1955,Woman Red boss gives  up: Her boy friend had walked out on her
red,1955,WELCOME' SIGN FOR No. 1 RED
red,1955,GIRL RED GIVES UP: SHE'S No. 4 IN JOHORE
red,1955,Bomb in Red HQ
red,1955,"London will see red, Marshall warns"
red,1955,Out come the Red flags
red,1955,Gurkhas kill Bahau Red
red,1955,Kiwi 'Red Devils here to hunt terrorists
red,1955,Was this a top Red parley?
red,1955,Red gun  raid on  village  foiled
red,1955,ANTI-RED  FRONT PROPOSED
red,1955,Canberras blitz Red hide-outs
red,1955,DOWN GO THE RED  POSTERS
red,1955,India buys Red
red,1955,GIRL'S 'NIGHTMARE'  STAY IN RED CHINA
red,1955,"Chan Lo organised Red  trade unions, became Selangor boss"
red,1955,SADISTIC  RED  IS KILLED
marshall,1955,Marshall due this week
marshall,1955,MARSHALL  SUES  FOR LIBEL
marshall,1955,LABOUR WINS   MARSHALL WILL BE CHIEF MINISTER
marshall,1955,MARSHALL TO LEAD
marshall,1955,TALKS GO WELL: MARSHALL
marshall,1955,MARSHALL GREETS NEWSMEN
marshall,1955,MARSHALL NAMES HIS MEN
marshall,1955,QUIT' NOTE TO MARSHALL
marshall,1955,BROADSIDE BY MARSHALL
marshall,1955,HIS IS MARSHALL'S PLAN
marshall,1955,Marshall at the bus depot  THE BRICK WORKERS DISOWN T.U.C.
marshall,1955,Marshall s date
marshall,1955,MARSHALL KNEELS FOR LEELA
marshall,1955,WE NEED HIM HERE: MARSHALL
marshall,1955,"e're ready to help, key tell Marshall"
marshall,1955,THE MARSHALL STORY
marshall,1955,Marshall speaks
marshall,1955,Marshall:  No Asian  expats
marshall,1955,Result didn't  surprise me: Marshall
marshall,1955,Marshall talks to the pickets
marshall,1955,"Mr. David  JAGAN  Marshall? No, no, no"
marshall,1955,MARSHALL to LIM: NAME SYMPATHY STRIKE UNIONS
marshall,1955,Ml Singapore now backs  Mr. Marshall  a brave man
marshall,1955,WORRIES  IF Mr. MARSHALL
marshall,1955,Marshall aids boy violinist
marshall,1955,MARSHALL FLAYS PAP
marshall,1955,I can't do 2 jobs Marshall
marshall,1955,Marshall  plan for  Junior  Ministers
marshall,1955,MARSHALL FACES CRISIS
marshall,1955,DECISION DAY for MARSHALL
marshall,1955,"Stand in a new general  election? I don't know yet, says Marshall"
marshall,1955,MARSHALL: NEW SHOCK
marshall,1955,Parties support the Marshall stand
marshall,1955,MARSHALL IN THE CRYSTAL
marshall,1955,MARSHALL MAJORITY SURE
marshall,1955,AFRICA TO MARSHALL: DON'T QUIT
marshall,1955,Mr. Marshall: This is how Britain can make me stay
marshall,1955,salute you:  Marshall
marshall,1955,130 unions  back  Marshall
marshall,1955,Came is  made  Marshall  adviser
marshall,1955,i 250 STUDENTS CALL ON  I MARSHALL: THEY WANT  I TEACHER RELEASED I
marshall,1955,OUT: A MARSHALL SECRET
marshall,1955,HOUSES FOR  ALL  PLAN BY MARSHALL
marshall,1955,Marshall tells the strikers: It's jail for you if you break the law
marshall,1955,MARSHALL  ON 'CREAM  BUN BIG  BUSINESS'
marshall,1955,Cream buns: Just a Marshall slip
marshall,1955,Marshall sick
marshall,1955,A SURPRISE FOR  LADY PATRICIA  Marshall sends farewell flowers
marshall,1955,THE MARSHALL CITIZEN
marshall,1955,Thousands out to cheer Marshall
marshall,1955,MARSHALL WITH RED ENVOY
marshall,1955,The Marshall mission wins vital concessions
marshall,1955,Jubilant Marshall: We got Hong Kong too a cut of the cake
marshall,1955,DETENTIONS:  NEW MOVE by  MARSHALL
marshall,1955,"This is mockery, they tell Marshall"
marshall,1955,MARSHALL'S  WAR ON TAX DODGERS
marshall,1955,PAP IS RED MARSHALL
marshall,1955,Marshall answers:  What a fence-sitter
marshall,1955,SCUM' BY MARSHALL  We see them misleading  the workers
marshall,1955,Mr. MARSHALL  GETS MORE  HELPERS
marshall,1955,"London will see red, Marshall warns"
marshall,1955,MARSHALL  DROPS A  HINT
marshall,1955,NO CRISIS' MARSHALL
marshall,1955,MR MARSHALL GREETS THE TENGKU
marshall,1955,Marshall ill
marshall,1955,Marshall: I won't shirk  fight over budget
marshall,1955,19-13  victory  for  Marshall
marshall,1955,Marshall calls his Ministers
marshall,1955,THE EGG and MR. MARSHALL and MR. LEE
marshall,1955,Chin Peng would  love this  move: Marshall
marshall,1955,FUN IN THE SUN MARSHALL IN THE NOT-SO-CRUEL SEA
marshall,1955,MARSHALL REBUKES LOCAL GOVT. MEN
marshall,1955,Attack  angers  Marshall
marshall,1955,Rahman to meet Marshall
marshall,1955,UNEXPECTED EARLY SUCCESS FOR THE MARSHALL MISSION
marshall,1955,"I'm NOT ASHAMED I SAW Mr. NEHRU, says MARSHALL"
marshall,1955,Marshall:  Dominion  talk with  Rahman
marshall,1955,"Marshall: Talks, talks  all the day"
marshall,1955,Mr. MARSHALL PICKS A PARTY BOSS
marshall,1955,Chin Peng sends word by his emissary: I will meet Tengku and Mr. Marshall
marshall,1955,Marshall  deal for  'citizen  expats'
police,1955,CRISIS AS 12  MORE KENYA  POLICE QUIT
police,1955,Lost new boy is found by the police
police,1955,600 police hold 728
police,1955,2 police  officers slain
police,1955,Police capture  killer suspect
police,1955,"Bandits,  police in  30-min.  battle"
police,1955,GUARD HELPED REDS-POLICE
police,1955,"HOME GUARDS  HELPED REDS,  SAY POLICE"
police,1955,I knew he did:  not desert i  police: widow
police,1955,$5 dud  notes:  Swoop  by police
police,1955,POLICE: 'BEWARE OF DOG'
police,1955,POLICE SEIZE A RED PLAN OF SCHOOL
police,1955,POLICE BAND AT FUNERAL
police,1955,AFTER the STORM... HELP COMES from POLICE and CD. CORPS
police,1955,POLICE CHECK TALE OF LOTTERY FRAUD
police,1955,"POLICE OFFER $25,000"
police,1955,Police foil plot
police,1955,MAN STABBED-POLICE HUNT THE RAT'
police,1955,Bandits  wound  2 police  officers
police,1955,Police powers slashed by the Governor
police,1955,POLICE CALLED TO HOME OF SUSAN HAYWARD
police,1955,Not hurt by us   police
police,1955,REDS AND POLICE CLASH AT VILLAGE GATE
police,1955,POLICE SEEK HELP on 'RED BAIT CONTEST
police,1955,Judge will investigate police action
police,1955,Skeleton riddle for police
police,1955,POLICE PROBE MAN'S DEATH
police,1955,IOTERS BATTLE the POLICE
police,1955,U.S. Consul clears  the police
police,1955,Unionists to tackle 'police interference'
police,1955,4-mile dash to  police station
police,1955,Police commando squads to fight terror
police,1955,Police hold a striker
police,1955,Bomb  attack  on  police
police,1955,THE TRAFFIC HALTS AS POLICE CARRY AWAY THE WOUNDED MAN ON A STRETCHER
police,1955,Youth shot  in clash  with police
police,1955,POLICE HOLD 46 IN RAID ON ESTATE
police,1955,POLICE SEE 7 DANCES  WILL DECIDE
police,1955,Police alert after dawn clash
police,1955,Police begin arson hunt after fire
police,1955,Police trail  car   two arrests
police,1955,MONKEY CALLS ON POLICE
police,1955,Police  drop  $ million  charges
police,1955,"POLICE  SEAL  LINER IN  SEARCH  Two missing  Sunset service  $575,000 dole"
police,1955,Police are  on the  alert for 'Turco'
police,1955,Police probe drowning
police,1955,"I'LL CALL  IN THE POLICE,  says Mr. M"
police,1955,GANGSTERS  CHARGE THE POLICE
police,1955,POLICE SACKED -WHY?
police,1955,POLICE CHECK FRONT SQUABBLE
police,1955,MILLIONAIRE DETAINED BY POLICE
police,1955,Police probe riddle of frightened girl wandering in the street
police,1955,Terrorists fire at police
police,1955,Reds to blame for large police force
police,1955,K.L. blast: Police put out a warning
police,1955,Woman in  chains  rescued  by police
police,1955,POLICE ABUSING POWERS'-COUNCILLOR
police,1955,Police probe death
police,1955,POLICE DOGS IN  HUNT FOR THE  WRECKERS
police,1955,Schoolgirl  detained  by police
killed,1955,Mau terrorist killed
killed,1955,TOOTHLESS TERROR' KILLED
killed,1955,Undergraduate killed
killed,1955,The park terror  is killed
killed,1955,Lieutenant  killed by  own ambush
killed,1955,"1 KILLED,  4 HURT  IN CRASH"
killed,1955,7ft tiger killed
killed,1955,ANOTHER 3 REDS KILLED
killed,1955,Party leader killed
killed,1955,26 killed  in crash:  Forest  on fire
killed,1955,3 Reds run into patrol: All killed
killed,1955,32 MORE MAU MAU KILLED
killed,1955,Three killed in river bank ambush
killed,1955,Bandit boss killed
killed,1955,Girl killed by a train
killed,1955,Woman bandit boss killed
killed,1955,RIVER PIRATE KILLED  IN BATTLE
killed,1955,"Dr. HITO, THE RED JAP, KILLED IN AMBUSH"
killed,1955,Border clash:  2 Reds killed
killed,1955,Guard killed
killed,1955,Saigon: 3 killed
killed,1955,Bandit killed
killed,1955,TWO BANDIT BOSSES KILLED
killed,1955,General' killed
killed,1955,Man killed in hunt
killed,1955,MELLERSH KILLED
killed,1955,Woman killed at work
killed,1955,Boy killed neighbour
killed,1955,"won $40,000 sweep, then killed himself"
killed,1955,TWO KILLED ON THE ROADS WItHIN TWO HOURS
killed,1955,GIRL KILLED BY LORRY
killed,1955,"TWO KILLED,  FOUR HURT  IN CRASH"
killed,1955,Four killed in Algeria
killed,1955,Killed by fridge
killed,1955,Attack on  train:  Boy killed
killed,1955,GUN GOES OFF AT FILM SHOW: TWO KILLED
killed,1955,Cabby killed in road smash
killed,1955,Three drivers killed
killed,1955,Fell off bus -killed
killed,1955,Boy killed by lightning
killed,1955,15 KILLED IN NIGHT AIR DISASTER
killed,1955,AFTER ALL THIS A PAIR OF SHEARS NEARLY KILLED HIM
killed,1955,FILM STAR JAMES DEAN KILLED
killed,1955,Bandit killed
killed,1955,Three more Reds killed in Johore
killed,1955,6 MORE BANDITS KILLED
killed,1955,"TRENCH COLLAPSES, MAN KILLED"
killed,1955,MAN KILLED IN GANG BATTLE
killed,1955,MAN KILLED SON: CHARGE
killed,1955,33 killed in air crash
killed,1955,Bandit killed
killed,1955,Logger killed in battle
killed,1955,SOLDIER KILLED BY GRENADE
killed,1955,SADISTIC  RED  IS KILLED
killed,1955,Girl bandit  killed  by Gurkhas
killed,1955,2 cyclists killed
rubber,1955,DOLLAR RUBBER STARTS A MINOR SHARE BOOM
rubber,1955,FOUR-CT  DROP  IN RUBBER
rubber,1955,COLONY RUBBER DANGER
rubber,1955,RUBBER FREIGHT RATES TUMBLE
rubber,1955,UP goes that rubber rate -now it's $20
rubber,1955,Dollar rubber again
rubber,1955,THE 'CRISIS' SENDS RUBBER  AND TIN ON THE UP AND UP
rubber,1955,"Rubber price highest for years, nine months"
rubber,1955,UP GO both  rubber and tin...
rubber,1955,Rubber takes a quick six-cent toss
rubber,1955,RUBBER PRICE: It's 'WAR'
rubber,1955,Rubber's price  tumble is halted
rubber,1955,Rubber falls 8??c in four hours
rubber,1955,Rubber price drop  costs Malaya  $10 mil. in 4 days
rubber,1955,Rubber up again
rubber,1955,Rubber drops to 84 cents
rubber,1955,Save  rubber'  plan  is ready
rubber,1955,RUBBER SHOE MAKERS GO ON STRIKE
rubber,1955,$1 RUBBER AGAIN
rubber,1955,"UP rubber, UP tin, UP shares"
rubber,1955,"FEAR  sends rubber and tin  UP, UP, UP"
rubber,1955,Scramble too for rubber
rubber,1955,RUBBER
rubber,1955,No spot rubber in London
rubber,1955,Rubber  soars  on big  squeeze
rubber,1955,RUBBER
rubber,1955,Rubber up to  $1.23 a pound
rubber,1955,Rubber $1.28  then sags
rubber,1955,Rubber up again
rubber,1955,U.S. RUBBER BOMBSHELL
rubber,1955,Rubber slips despite U.S assurance
rubber,1955,TAX MILLIONS ROLL IN ON RUBBER BOOM
rubber,1955,"Rubber, tin-and  now a  film boom"
rubber,1955,Now U.S. joins the rubber and tin race
rubber,1955,"$200,000 RUBBER LOST IN FIRE"
rubber,1955,RUBBER
rubber,1955,RUBBER MARKET STRONG
rubber,1955,"38 SACKED, SO RUBBER MEN WILL STRIKE"
rubber,1955,Rubber up again
rubber,1955,A GERMAN  NOW IN  RUBBER  CASE
rubber,1955,"Four pirates seize $13,000 rubber"
rubber,1955,BIG 'IKE DROP' IN RUBBER
rubber,1955,U.S. rubber  men get  rises
rubber,1955,RUBBER  BUGBEAR  BEATEN
rubber,1955,"Rubber dip bad, worse, worst"
rubber,1955,"INDONESIA TO  FREE 12,000  TONS RUBBER"
rubber,1955,RUBBER
rubber,1955,That rubber  here 'in a few days'
rubber,1955,Tumble in  rubber  price
death,1955,2 boys dodge as man falls to death
death,1955,DEATH OF A GAMBLER
death,1955,Cinema stabbing -second death
death,1955,FIVE CHEAT DEATH
death,1955,Death comes to five as year ends
death,1955,River death
death,1955,Death gun found
death,1955,A lovers'  talk-then  girl fell  to death
death,1955,Death easier...
death,1955,Moore's last death scene
death,1955,19th DEATH FALL FROM S.I.T. FLATS
death,1955,To death' vow
death,1955,Life or death
death,1955,DEATH LEAP BY RED SUSPECT
death,1955,SHED  DEATH
death,1955,DEATH WINS RACE
death,1955,EASTER DEATH at DOCKS
death,1955,BABY BEATS 18-TON DEATH
death,1955,POLICE PROBE MAN'S DEATH
death,1955,lot fee may  have lured  girl to death
death,1955,Death notes  to bus manager
death,1955,Two in family  stabbed  to death
death,1955,Death came in storm for father and son
death,1955,Mysterious  death of lorry man
death,1955,PHANTOM VOICE SAID: DEATH TO YOU
death,1955,MAN FALLS TO DEATH FROM SPORE LINER
death,1955,MYSTERY DEATH IN HOSPITAL
death,1955,Student's  death:  4 boys  charged
death,1955,Mishap was murder: Yard to probe S'pore man's death
death,1955,Death note
death,1955,Death  for the cashier killers
death,1955,Drinks at cafe led to his death
death,1955,Riot death toll
death,1955,Money  lender  beaten  to death
death,1955,Stabbing led to death
death,1955,Girl of four battered to death
death,1955,Life and death
death,1955,I Love in the shadow of death!
death,1955,5-storey  fall  to death
death,1955,Wife sees bandits slash her husband to death
death,1955,Apaches threat: Death to girls who resist us
death,1955,Death came  after final  whistle
death,1955,The four knots of death
death,1955,HE DASHED TO HIS DEATH
death,1955,"SIR, I AM  FASTING  TO DEATH"
death,1955,DEATH' SHOUTS IN A THENS
death,1955,TOYS OF DEATH' PERIL
fire,1955,Newly-weds lose presents in fire: 23 homeless
fire,1955,Clerks put out fire
